,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
286,没有人给他写信的上校,19,"[哥伦比亚] 加西亚·马尔克斯 , 陶玉平 ", 2013-5 , 南海出版公司 ,8.5,★ 五十六年了，上校唯一做过的事情就是等待。★《没有人给他写信的上校》我写了九遍，它是我所有作品中最无懈可击的，可以面对任何敌人。 ——加西亚•马尔克斯...,18134,https://book.douban.com/subject/20392523/
287,NULL,36,"[美] 特德·姜 , 李克勤、王荣生、姚向辉 ", 2015-5 , 译林出版社 ,8.6,一瞥之下，过去与未来轰轰然同时并至，我的意识成为长达半个世纪的灰烬，时间未至已成灰。五十年诸般纷纭并发眼底，我的余生尽在其中。还有，你的一生。《你一...,15551,https://book.douban.com/subject/26295448/
288,古都,39,"[日] 川端康成 , 叶渭渠、唐月梅 ", 2014-1 , 南海出版公司 ,8.7,《古都》收录川端康成经典小说《古都》与《名人》。古都京都，被织锦商户收养的千重子出落成了美丽的少女。祇园节夜里，她遇到山村姑娘苗子，惊讶地得知两人是孪生姐...,4150,https://book.douban.com/subject/25788092/
289,檀香刑,27,莫言 , 2001-3 , 作家出版社 ,8.2,《檀香刑》是莫言潜心五年完成的一部长篇新作。在这部神品妙构的小说中，莫言以1900年德国人在山东修建胶济铁路、袁世凯镇压山东义和团运动、八国联军攻陷北京、慈...,15716,https://book.douban.com/subject/1043485/
290,鹿鼎记（全五册）,108,金庸 , 2008-3 , 广州出版社 花城出版社 ,8.8,《鹿鼎记》是金庸创作的最后一部小说，也是他最重要的代表作。小说讲的是一个从小在扬州妓院长大的小孩韦小宝，他以不会任何武功之姿态闯江湖各大帮会、周旋皇帝朝臣...,34968,https://book.douban.com/subject/1212893/
291,NULL,3,汪曾祺 , 1987-10 , 漓江出版社 ,9.2,NULL,7164,https://book.douban.com/subject/1760432/
292,念楼学短,38,钟叔河 , 2002-8 , 湖南美术出版社 ,8.7,《念楼学短》共收文一百九十篇，都是我爱读的文章。这些文章分为二十个单元，每单元八至十篇。其中除了刘献廷《南岳》百零一字，庄子《郢人》百零二字外，每篇都没有超...,144,https://book.douban.com/subject/1394394/
293,棋王·树王·孩子王,58,阿城 , 2016-3-1 , 江苏文艺出版社 ,9.2,此次出版的是阿城先生亲自编订的最新版本，增添了许多以往版本所不具备的内容。内容包括以往版本都有的《棋王》《树王》《孩子王》三篇中篇小说，以及以往版本所不具...,3560,https://book.douban.com/subject/26734559/
294,小王子,32,"安托万•德•圣埃克苏佩里 , 李继宏 ", 2013-1 , 天津人民出版社 ,7.7,《小王子》是一本足以让人永葆童心的不朽经典，被全球亿万读者誉为非常值得收藏的书。遥远星球上的小王子，与美丽而骄傲的玫瑰吵架负气出走，在各星球漫游中，小王子...,21773,https://book.douban.com/subject/20443559/
295,动物庄园,16,"乔治•奥威尔 (George Orwell) , 隗静秋 ", 2009-6-1 , 上海三联书店 ,9.3,《动物庄园(买中文版送英文版)》内容为：小说不属于人们所熟悉的蕴含教训的传统寓言，而是对现代政治神话的一种寓言式解构。“它是一部革命史，但它误入歧途，而且第...,20854,https://book.douban.com/subject/3808982/
296,NULL,25,"[德]帕·聚斯金德 , 李清华 ", 2009-6 , 上海译文出版社 ,8.9,本书描述格雷诺耶自幼受苦，生有特殊的嗅觉功能，领悟惟有少女的体香能使人神魂颠倒，他先后杀死26名少女，萃取她们的体味制出神奇的香水。当他罪行败露押赴刑场时，...,9357,https://book.douban.com/subject/3815125/
297,城南旧事,13,林海音 , 2008-5 , 人民文学出版社 ,9.1,《城南旧事》是著名作家林海音女士的经典自传体小说，初版于1960年。她以超逸的文字风格，饶具魔力的文笔，透过英子童稚的双眼观看大人世界的喜怒哀乐、悲欢离合，...,9609,https://book.douban.com/subject/3057333/
298,大裂,35,胡迁 , 2017-1-1 , 九州出版社 ,7.6,王小帅 骆以军 黄丽群 陈雪 小野 联袂推荐华语世界实力名家力荐 新生代写作者中头角峥嵘的一支笔第六届华文世界电影小说奖首奖得主胡迁迷人、离奇、惊奇、...,6303,https://book.douban.com/subject/26935435/
299,过于喧嚣的孤独,22,"(捷克) 赫拉巴尔 , 杨乐云 ", 2011-10 , 北京十月文艺出版社 ,8.8,本书是作者最重要的代表作，酝酿二十年，三易其稿。正如作者自己所说“我为它而活着，并为写它推迟了我的死亡”。小说诗意地叙述了一个在废纸回收站工作三十五年的打包...,8725,https://book.douban.com/subject/6781794/
300,度外,45,黄国峻 , 2019-1 , 后浪丨四川人民出版社 ,8.3,时间如此真实，真实如此短暂。与袁哲生并称，被期待撑起21世纪小说江山的作家黄国峻惊艳华文文坛代表作将一切担忧、恐慌、丧失感引爆的“时间痉挛”◎编辑推...,403,https://book.douban.com/subject/30382687/
301,心是孤独的猎手,25,"[美] 卡森·麦卡勒斯 , 陈笑黎 ", 2005-8 , 上海三联书店 ,8.5,《心是孤独的猎手》作者麦卡勒斯的第一部长篇小说，也是她一举成名的作品和最具震撼力的代表作，居“现代文库20世纪百佳英文小说”第17位，曾被评为百部最佳同性恋...,25861,https://book.douban.com/subject/1424741/
